Time,Policies,FUM,Profit
0.0,1.0,10094.0,100.94
1.0,0.726,7841.221079999999,78.4122108
2.0,0.5140890000000001,5941.131527633402,59.411315276334015
3.0,0.35489491199999995,4388.482860414194,43.88482860414194
4.0,0.23736773761599994,3140.654057934556,31.40654057934556
5.0,0.15527305918244907,2198.2561576756934,21.982561576756936
6.0,0.09799832340789197,1484.5150751720212,14.845150751720212
7.0,0.06060711605322996,982.3660907348511,9.823660907348511
8.0,0.036004060626969564,624.4317917332836,6.244317917332836
9.0,0.01801439850948199,334.3005302278715,3.343005302278715
10.0,0.008258601109663364,163.9863001497997,1.639863001497997
11.0,0.0033706127336037835,71.61330416224675,0.7161330416224675
12.0,0.0015417808854361731,35.05026370056601,0.35050263700566014
13.0,0.0007857521373404254,19.11340143636759,0.19113401436367589
14.0,0.00041130568049708137,10.705350613208227,0.10705350613208227
15.0,0.00021783257990686005,6.066564239688699,0.06066564239688699
16.0,0.00011411137599774321,3.4004209691413747,0.034004209691413746
17.0,5.912140790606039e-05,1.8850908645165019,0.018850908645165018
18.0,2.8406160852800906e-05,0.969134023550546,0.00969134023550546
19.0,1.3387069862896485e-05,0.4886980501624883,0.004886980501624883
20.0,6.4158439152961835e-06,0.25060668052978086,0.0025060668052978084
21.0,3.1458198827035214e-06,0.1314790280078683,0.0013147902800786828
22.0,1.5246697834780999e-06,0.06818395720159844,0.0006818395720159843
23.0,7.620502157647831e-07,0.03646479509887634,0.0003646479509887634
24.0,3.615183652420793e-07,0.01850991094699634,0.0001850991094699634
25.0,1.7756490874046564e-07,0.009727805643039681,9.727805643039681e-05
26.0,7.850682877135611e-08,0.004602024801923402,4.6020248019234026e-05
27.0,3.4143115322784275e-08,0.0021415511059192528,2.1415511059192528e-05
28.0,1.058488197266452e-08,0.0007103871472741599,7.103871472741599e-06
29.0,1.5643548510779514e-09,0.00011233837218509433,1.1233837218509433e-06
30.0,1.8765072653261062e-10,1.4418725740865475e-05,1.4418725740865475e-07
31.0,1.658198702953404e-11,1.3633174065979548e-06,1.3633174065979548e-08
32.0,2.7018188202224177e-12,2.3768425243363281e-07,2.376842524336328e-09
33.0,3.691701543496542e-13,3.474997905325711e-08,3.474997905325711e-10
34.0,4.8964930411196116e-14,4.931702647441523e-09,4.9317026474415236e-11
35.0,6.364133234817974e-15,6.858589061885197e-10,6.858589061885197e-12
36.0,6.776595434400777e-16,7.814313956179912e-11,7.814313956179913e-13
37.0,7.059926173296052e-17,8.710904136274156e-12,8.710904136274157e-14
38.0,5.869771728704668e-18,7.749399753730749e-13,7.74939975373075e-15
39.0,4.2437648450724877e-19,5.994899970365977e-14,5.994899970365978e-16
40.0,2.334000223217523e-20,3.527892158589963e-15,3.527892158589963e-17
41.0,4.1804816296580148e-22,6.761211240962753e-17,6.761211240962754e-19
42.0,6.03444476430195e-24,1.0442855762787838e-18,1.0442855762787837e-20
43.0,6.979976536816252e-26,1.2924677152919579e-20,1.2924677152919579e-22
44.0,6.437983707576496e-28,1.2755555943791992e-22,1.2755555943791993e-24
