0,1,2,3
0.0,1.0,10094.0,100.94
1.0,0.731,7895.22398,78.9522398
2.0,0.519841,6007.6052093246,60.076052093246
3.0,0.35942543100000013,4444.505373862574,44.44505373862574
4.0,0.24009999999999995,3176.805099478094,31.76805099478094
5.0,0.15414952512716792,2182.349884762773,21.82349884762773
6.0,0.09374743182073653,1420.120987348821,14.20120987348821
7.0,0.05513282121031073,893.6345691814194,8.936345691814195
8.0,0.03147440830160258,545.8723495980532,5.458723495980532
9.0,0.017026055347225597,315.959443623426,3.15959443623426
10.0,0.008258601109663364,163.9863001497997,1.639863001497997
11.0,0.0036950404075058777,78.50621637911846,0.7850621637911845
12.0,0.0018529362625311933,42.12395239527581,0.4212395239527581
13.0,0.0009191089866355259,22.3573035191463,0.223573035191463
14.0,0.0004533789832454254,11.800422912798984,0.11800422912798984
15.0,0.00021783257990686005,6.066564239688699,0.06066564239688699
16.0,0.0001048251913228021,3.1237006437935007,0.03123700643793501
17.0,5.081603014812327e-05,1.6202732241327906,0.016202732241327907
18.0,2.4164386034109177e-05,0.8244172376977769,0.00824417237697777
19.0,1.1268718875927437e-05,0.4113671624108075,0.004113671624108075
20.0,4.965884243463389e-06,0.1939703930736992,0.0019397039307369921
21.0,1.6864945524460668e-06,0.07048676426623994,0.0007048676426623994
22.0,5.650326708567019e-07,0.025268529529923357,0.0002526852952992336
23.0,2.0568806966515085e-07,0.00984236098810871,9.842360988108711e-05
24.0,9.145906897465939e-08,0.00468274750269615,4.6827475026961496e-05
25.0,4.0157153527798696e-08,0.002199989781016383,2.199989781016383e-05
26.0,1.4901161193847656e-08,0.0008734974328318025,8.734974328318025e-06
27.0,4.820119159866978e-09,0.000302331272934175,3.02331272934175e-06
28.0,1.4142287474859628e-09,9.491366347911786e-05,9.491366347911786e-07
29.0,3.5020146649216005e-10,2.5148426302033286e-05,2.5148426302033285e-07
30.0,8.147563645587645e-11,6.260433297153191e-06,6.260433297153191e-08
31.0,1.7765929199612918e-11,1.4606573071779668e-06,1.4606573071779669e-08
32.0,4.188271851027259e-12,3.684504143835565e-07,3.684504143835565e-09
33.0,9.353273739335175e-13,8.804234651467339e-08,8.80423465146734e-10
34.0,1.975024515334e-13,1.9892264829620668e-08,1.9892264829620668e-10
35.0,3.93560894727553e-14,4.241382680357022e-09,4.2413826803570226e-11
36.0,6.756614548369068e-15,7.791273342632023e-10,7.791273342632022e-12
37.0,5.562957034749483e-16,6.863865747946063e-11,6.863865747946063e-13
38.0,3.905399933637778e-17,5.155993568872806e-12,5.1559935688728067e-14
39.0,2.3078815226508113e-18,3.260199228006756e-13,3.260199228006756e-15
40.0,8.90960955614531e-20,1.3467068844531917e-14,1.3467068844531917e-16
41.0,1.2254558134687058e-21,1.981964365671802e-16,1.981964365671802e-18
42.0,1.4701897528729376e-23,2.544224055874141e-18,2.544224055874141e-20
43.0,1.583334151360124e-25,2.9318268655464135e-20,2.9318268655464135e-22
44.0,1.1095640035039258e-27,2.198375510527645e-22,2.198375510527645e-24
